,accuracy,precision,recall,f1
svm_0.1_poly_0.22,0.9994467319948503,0.9349280479695385,0.8824597539297698,0.9070043338016742
svm_10_poly_65,0.9982444380605828,0.7336949470888455,0.8885584051680671,0.791751616387421
svm_0.1_rbf_0.3,0.9994467319948503,0.9194259078375271,0.902562012126854,0.9108203719115093
svm_10_rbf_5,0.9995318501494888,0.9565171196504763,0.8892031333165783,0.920172645512426
svm_0.1_sigmoid_0.5,0.9987551469884133,0.9160865029433994,0.634185561265016,0.702734145527248
svm_10_sigmoid_2,0.9984891527551683,0.762737028284693,0.7345636439552901,0.7478486710459553
svm_100_sigmoid_5,0.9984146743698596,0.4992073371849298,0.5,0.4996033541860775
